Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2019-03-14,09:00,2019-03-14,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-14,13:00,2019-03-14,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-15,09:00,2019-03-15,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-15,13:00,2019-03-15,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-17,12:45,2019-03-17,13:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,,,Anmälan,Påminnelse,Sista anmälningsdag i Ladok till salstenta,,,
2019-03-18,10:00,2019-03-18,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Henrik Sandklef,Föreläsning,,Databas - TBD,,,
2019-03-18,13:00,2019-03-18,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-03-19,10:00,2019-03-19,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,Java - JDBC from servlet,,,
2019-03-19,13:00,2019-03-19,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,Java - JDBC from servlet,,,
2019-03-20,10:00,2019-03-20,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),Henrik Sandklef,Föreläsning,,Databas - TBD,,,
2019-03-20,13:00,2019-03-20,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-03-21,09:00,2019-03-21,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-21,13:00,2019-03-21,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-22,09:00,2019-03-22,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-22,13:00,2019-03-22,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-03-25,10:00,2019-03-25,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-03-25,13:00,2019-03-25,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-03-26,08:30,2019-03-26,12:30,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,,"Henrik Sandklef, Rikard Fröberg",Tentamen,Salstentamen,"Salstentamen anmälan krävs, se lokal i hus SAGA",,,
2019-03-31,23:45,2019-04-01,00:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,,"Henrik Sandklef, Rikard Fröberg",Inlämning,GUL,Deadline inlämning lab 3 i GUL,,,
